psnr,ssim,dist
0.119938,0.883653,0.385840
0.103761,0.827345,0.468352
0.093672,0.787464,0.524009
1.000000,1.000000,0.000003
0.214402,0.991889,0.046612
0.167000,0.968468,0.152332
0.146023,0.942103,0.239176
0.127009,0.897326,0.336650
0.156817,0.959982,0.125538
0.030384,0.527475,0.467050
0.033215,0.466150,0.526042
0.026013,0.450024,0.545489
0.031658,0.429576,0.586527
0.232678,0.987462,0.063360
0.212290,0.973266,0.168228
0.197593,0.963145,0.232441
0.191602,0.960770,0.256027
0.185993,0.959617,0.271913
0.060631,0.624046,0.166058
0.058382,0.584663,0.191316
0.053880,0.530015,0.227012
0.040980,0.433396,0.300989
0.035572,0.414181,0.474086
0.033935,0.743619,0.333941
0.028601,0.706289,0.461534
0.027613,0.687817,0.518757
0.028330,0.669088,0.577621
0.019196,0.619656,0.531231
1.000000,1.000000,0.000003
0.044764,0.587676,0.333497
0.029275,0.517416,0.414941
0.032638,0.453851,0.506905
0.030855,0.423528,0.538342
0.262104,0.984581,0.021689
0.188285,0.967470,0.059502
0.159739,0.951171,0.093208
0.115431,0.891795,0.253922
0.082757,0.774275,0.466772
0.128422,0.903807,0.086507
0.124623,0.896797,0.095297
0.111557,0.862093,0.180855
0.066627,0.709448,0.522285
0.041545,0.602907,0.662937
0.070782,0.569855,0.214420
0.053222,0.412165,0.275504
0.046145,0.325974,0.322191
0.039455,0.231182,0.374786
